pH,ΔG (kJ/mol),Exergy Efficiency (%)
4.0,13.18827867496789,-39.96448083323603
4.122448979591836,14.594838624366183,-44.22678371020055
4.244897959183674,16.00139857376448,-48.48908658716509
4.36734693877551,17.407958523162772,-52.7513894641296
4.489795918367347,18.81451847256105,-57.0136923410941
4.612244897959184,20.221078421959362,-61.275995218058675
4.73469387755102,21.62763837135766,-65.53829809502321
4.857142857142857,23.034198320755934,-69.80060097198768
4.979591836734694,24.440758270154234,-74.06290384895222
5.1020408163265305,25.84731821955253,-78.32520672591676
5.224489795918368,27.253878168950827,-82.5875096028813
5.346938775510204,28.660438118349113,-86.8498124798458
5.469387755102041,30.066998067747413,-91.11211535681034
5.591836734693878,31.473558017145713,-95.37441823377489
5.714285714285714,32.880117966544,-99.63672111073939
5.836734693877551,34.28667791594229,-103.89902398770391
5.959183673469388,35.69323786534059,-108.16132686466847
6.081632653061225,37.09979781473888,-112.42362974163296
6.204081632653061,38.50635776413717,-116.6859326185975
6.326530612244898,39.91291771353547,-120.94823549556202
6.448979591836735,41.31947766293376,-125.21053837252654
6.571428571428571,42.72603761233206,-129.4728412494911
6.6938775510204085,44.13259756173036,-133.73514412645562
6.816326530612245,45.53915751112864,-137.99744700342015
6.938775510204081,46.94571746052692,-142.25974988038462
7.061224489795919,48.35227740992523,-146.52205275734917
7.183673469387755,49.75883735932352,-150.78435563431373
7.3061224489795915,51.16539730872181,-155.04665851127822
7.428571428571429,52.57195725812011,-159.30896138824275
7.551020408163265,53.9785172075184,-163.57126426520728
7.673469387755102,55.38507715691671,-167.83356714217183
7.795918367346939,56.791637106314994,-172.09587001913633
7.918367346938775,58.19819705571329,-176.35817289610088
8.040816326530612,59.60475700511158,-180.62047577306538
8.16326530612245,61.01131695450986,-184.88277865002988
8.285714285714285,62.41787690390816,-189.14508152699443
8.408163265306122,63.824436853306445,-193.40738440395893
8.53061224489796,65.23099680270475,-197.66968728092348
8.653061224489797,66.63755675210305,-201.93199015788804
8.775510204081632,68.04411670150134,-206.19429303485254
8.89795918367347,69.45067665089962,-210.45659591181703
9.020408163265305,70.85723660029792,-214.7188987887816
9.142857142857142,72.26379654969621,-218.9812016657461
9.26530612244898,73.67035649909451,-223.24350454271067
9.387755102040817,75.07691644849281,-227.50580741967514
9.510204081632653,76.48347639789111,-231.76811029663972
9.63265306122449,77.8900363472894,-236.03041317360422
9.755102040816325,79.29659629668767,-240.29271605056869
9.877551020408163,80.70315624608597,-244.55501892753327
10.0,82.10971619548427,-248.8173218044978
