pH,ΔG (kJ/mol),Exergy Efficiency (%)
4.0,-330.0711722125806,172.8121320484715
4.122448979591836,-330.0711722125806,172.8121320484715
4.244897959183674,-330.0711722125806,172.8121320484715
4.36734693877551,-330.0711722125806,172.8121320484715
4.489795918367347,-330.0711722125806,172.8121320484715
4.612244897959184,-330.0711722125806,172.8121320484715
4.73469387755102,-330.0711722125806,172.8121320484715
4.857142857142857,-330.0711722125806,172.8121320484715
4.979591836734694,-330.0711722125806,172.8121320484715
5.1020408163265305,-330.0711722125806,172.8121320484715
5.224489795918368,-330.0711722125806,172.8121320484715
5.346938775510204,-330.0711722125806,172.8121320484715
5.469387755102041,-330.0711722125806,172.8121320484715
5.591836734693878,-330.0711722125806,172.8121320484715
5.714285714285714,-330.0711722125806,172.8121320484715
5.836734693877551,-330.0711722125806,172.8121320484715
5.959183673469388,-330.0711722125806,172.8121320484715
6.081632653061225,-330.0711722125806,172.8121320484715
6.204081632653061,-330.0711722125806,172.8121320484715
6.326530612244898,-330.0711722125806,172.8121320484715
6.448979591836735,-330.0711722125806,172.8121320484715
6.571428571428571,-330.0711722125806,172.8121320484715
6.6938775510204085,-330.0711722125806,172.8121320484715
6.816326530612245,-330.0711722125806,172.8121320484715
6.938775510204081,-330.0711722125806,172.8121320484715
7.061224489795919,-330.0711722125806,172.8121320484715
7.183673469387755,-330.0711722125806,172.8121320484715
7.3061224489795915,-330.0711722125806,172.8121320484715
7.428571428571429,-330.0711722125806,172.8121320484715
7.551020408163265,-330.0711722125806,172.8121320484715
7.673469387755102,-330.0711722125806,172.8121320484715
7.795918367346939,-330.0711722125806,172.8121320484715
7.918367346938775,-330.0711722125806,172.8121320484715
8.040816326530612,-330.0711722125806,172.8121320484715
8.16326530612245,-330.0711722125806,172.8121320484715
8.285714285714285,-330.0711722125806,172.8121320484715
8.408163265306122,-330.0711722125806,172.8121320484715
8.53061224489796,-330.0711722125806,172.8121320484715
8.653061224489797,-330.0711722125806,172.8121320484715
8.775510204081632,-330.0711722125806,172.8121320484715
8.89795918367347,-330.0711722125806,172.8121320484715
9.020408163265305,-330.0711722125806,172.8121320484715
9.142857142857142,-330.0711722125806,172.8121320484715
9.26530612244898,-330.0711722125806,172.8121320484715
9.387755102040817,-330.0711722125806,172.8121320484715
9.510204081632653,-330.0711722125806,172.8121320484715
9.63265306122449,-330.0711722125806,172.8121320484715
9.755102040816325,-330.0711722125806,172.8121320484715
9.877551020408163,-330.0711722125806,172.8121320484715
10.0,-330.0711722125806,172.8121320484715
